id,cluster
3020160046700-api_xml-1-IMG-1,9
3020200041553-api_xml-0-IMG-0,34
3020100032490-api_xml-2-IMG-2,1
3020170007518-api_xml-2-IMG-2,23
3020190042456-api_xml-2-IMG-2,46
3020150007753-api_xml-1-IMG-1,4
3020150004052-api_xml-1-IMG-1,16
3020210014518-api_xml-1-IMG-1,10
3020150024766-api_xml-0-IMG-0,12
3020220037942-api_xml-2-IMG-2,20
3020160044019-api_xml-2-IMG-2,28
3020170032921-api_xml-1-IMG-1,20
3020210029709-api_xml-2-IMG-2,10
3020220011669-api_xml-1-IMG-1,22
3020180048446-api_xml-1-IMG-1,19
3020220038868-api_xml-2-IMG-2,22
3020190035457-api_xml-2-IMG-2,16
3020240036259-api_xml-1-IMG-1,3
3020130063449-api_xml-1-IMG-1,30
3020230040703-api_xml-2-IMG-2,27
3020180015304-api_xml-0-IMG-0,25
3020210058812-api_xml-1-IMG-1,42
3020170004578-api_xml-2-IMG-2,2
3020230002977-api_xml-2-IMG-2,15
3020180014419-api_xml-2-IMG-2,22
3020140002425-api_xml-1-IMG-1,3
3020230003748-api_xml-2-IMG-2,20
3020180028438-api_xml-0-IMG-0,23
3020250013587-api_xml-2-IMG-2,29
3020190057284-api_xml-0-IMG-0,45
3020140046066-api_xml-1-IMG-1,16
3020200066342-api_xml-2-IMG-2,25
3020240050691-api_xml-2-IMG-2,38
3020180025650-api_xml-0-IMG-0,23
3020180053405-api_xml-0-IMG-0,43
3020110014258-api_xml-1-IMG-1,1
3020150026590-api_xml-0-IMG-0,3
3020220023109-api_xml-1-IMG-1,31
3020230041168-api_xml-0-IMG-0,34
3020200012480-api_xml-2-IMG-2,2
3020120049752-api_xml-1-IMG-1,32
3020190052811-api_xml-0-IMG-0,43
3020220047910-api_xml-1-IMG-1,45
3020150058283-api_xml-1-IMG-1,49
3020200019076-api_xml-2-IMG-2,45
3020160052320-api_xml-2-IMG-2,22
3020130051847-api_xml-0-IMG-0,32
3020120021026-api_xml-2-IMG-2,47
3020140062705-api_xml-2-IMG-2,23
3020200023848-api_xml-2-IMG-2,38
3020190005821-api_xml-0-IMG-0,21
3020250036601-api_xml-0-IMG-0,25
3020210013920-api_xml-2-IMG-2,43
3020240004258-api_xml-1-IMG-1,33
3020200059688-api_xml-2-IMG-2,8
3020180000688-api_xml-0-IMG-0,35
3020210014622-api_xml-2-IMG-2,1
3020170023971-api_xml-1-IMG-1,4
3020240041824-api_xml-1-IMG-1,1
3020210033736-api_xml-1-IMG-1,25
3020240045961-api_xml-2-IMG-2,22
3020160021264-api_xml-1-IMG-1,30
3020190055016-api_xml-1-IMG-1,32
3020120045454-api_xml-2-IMG-2,8
3020250022287-api_xml-2-IMG-2,40
3020220047737-api_xml-2-IMG-2,20
3020170061896-api_xml-2-IMG-2,13
3020190034882-api_xml-0-IMG-0,32
3020240002129-api_xml-2-IMG-2,43
3020230030681-api_xml-0-IMG-0,29
3020230030030-api_xml-1-IMG-1,16
3020220014934-api_xml-1-IMG-1,3
3020150006520-api_xml-2-IMG-2,4
3020100037173-api_xml-2-IMG-2,12
3020230035270-api_xml-1-IMG-1,20
3020240054050-api_xml-2-IMG-2,25
3020160006395-api_xml-1-IMG-1,3
3020220014950-api_xml-0-IMG-0,12
3020210028911-api_xml-1-IMG-1,22
3020120009305-api_xml-1-IMG-1,39
3020200015395-api_xml-2-IMG-2,43
3020160001148-api_xml-1-IMG-1,7
3020160020161-api_xml-2-IMG-2,26
3020190059494-api_xml-1-IMG-1,30
3020150018947-api_xml-2-IMG-2,17
3020190021092-api_xml-2-IMG-2,22
3020210049185-api_xml-0-IMG-0,3
3020230019865-api_xml-0-IMG-0,3
3020170030274-api_xml-1-IMG-1,27
3020220004300-api_xml-2-IMG-2,20
3020180054138-api_xml-2-IMG-2,10
3020130036442-api_xml-0-IMG-0,12
3020180011266-api_xml-0-IMG-0,12
3020160031726-api_xml-2-IMG-2,1
3020110054296-api_xml-2-IMG-2,14
3020240016762-api_xml-1-IMG-1,49
3020180058713-api_xml-2-IMG-2,18
3020200008704-api_xml-0-IMG-0,14
3020150049340-api_xml-2-IMG-2,20
3020190049652-api_xml-1-IMG-1,43
3020130033737-api_xml-2-IMG-2,3
3020160030572-api_xml-2-IMG-2,44
3020250040561-api_xml-2-IMG-2,33
3020210015928-api_xml-0-IMG-0,2
3020210037746-api_xml-0-IMG-0,34
3020230012405-api_xml-2-IMG-2,0
3020250029744-api_xml-0-IMG-0,1
3020180006913-api_xml-1-IMG-1,11
3020150060366-api_xml-2-IMG-2,38
3020190026762-api_xml-1-IMG-1,27
3020230026106-api_xml-0-IMG-0,6
3020220036277-api_xml-2-IMG-2,43
3020240021698-api_xml-0-IMG-0,10
3020230047298-api_xml-1-IMG-1,16
3020180061998-api_xml-2-IMG-2,25
3020120062411-api_xml-2-IMG-2,14
3020130026279-api_xml-2-IMG-2,45
3020190005733-api_xml-1-IMG-1,33
3020240029192-api_xml-2-IMG-2,25
3020180051391-api_xml-1-IMG-1,20
3020200063719-api_xml-2-IMG-2,36
3020200048042-api_xml-0-IMG-0,31
3020220052445-api_xml-1-IMG-1,39
